speaker_id,n_seg,hours,n_words,n_chars,wer_A,cer_A,wer_B,cer_B,gain_abs,gain_rel
23595,59,2.3800305555555554,17533,93754,0.2066959447898249,0.10110501951916719,0.09342382935036787,0.057746869466902745,0.11327211543945702,0.5480132450331126
23596,512,20.495627777777777,122603,649741,0.15121163429932383,0.0724257819654293,0.07967178617162712,0.04629690907607801,0.0715398481276967,0.47311073952208854
23597,625,19.49210833333333,115194,611757,0.20164244665520772,0.10711279151689315,0.08719204125214855,0.05451837902958201,0.11445040540305917,0.5675908386430171
23598,95,5.121555555555555,29713,165771,0.14784774341197457,0.058749721000657534,0.0655941843637465,0.03401077389893287,0.08225355904822806,0.5563396312315048
23599,318,14.222883333333334,96313,515892,0.18256102499143417,0.0898889690090174,0.09222015719580949,0.05047955773689067,0.09034086779562468,0.4948529829949383
23600,126,6.689169444444446,50768,266188,0.13790182792310116,0.05934527476820894,0.06023479357075323,0.033220881482260656,0.07766703435234792,0.563205256391944
23601,61,3.3455555555555563,23262,124784,0.20191729000085978,0.08981920759071677,0.09900266529103259,0.049509552506731634,0.1029146247098272,0.5096870342771982
23602,35,0.9941222222222222,8640,46567,0.23032407407407407,0.13077930723473705,0.11331018518518518,0.07344256662443362,0.11701388888888889,0.5080402010050251
23631,234,9.598783333333333,55222,293382,0.15863242910434247,0.08315779427504073,0.0782659085147224,0.0488850713404367,0.08036652058962007,0.50662100456621
23632,1014,36.00843888888889,193055,1027791,0.18578125404677423,0.09431975956201212,0.08326124679495481,0.05011038236372959,0.10252000725181942,0.5518318184352868
23633,34,1.3090055555555553,8483,45574,0.21643286573146292,0.10372142010795629,0.10904161263703878,0.0543292228024751,0.10739125309442414,0.4961873638344227
23634,57,2.0495555555555556,13773,73607,0.18688738836854715,0.08761394976021303,0.08204457997531402,0.04305297050552257,0.10484280839323314,0.560994560994561
23635,161,7.6972805555555555,49435,263881,0.24761808435319105,0.15515326984511957,0.11629412359664205,0.07262743433593173,0.131323960756549,0.5303488277101545
23636,23,0.8389027777777778,4189,22982,0.27428980663642877,0.1281002523714211,0.11649558367152064,0.056696545122269605,0.15779422296490814,0.5752828546562229
23637,46,1.5492527777777776,11312,60749,0.20314710042432815,0.10149961316235659,0.09812588401697313,0.056725213583762694,0.10502121640735503,0.5169712793733682
23638,55,1.8470861111111112,12062,64388,0.3488642016249378,0.21715226439709262,0.10852263306251037,0.05269615456296204,0.24034156856242744,0.688925855513308
23639,207,6.376894444444444,46081,240543,0.21833293548317093,0.10216884299272895,0.08465528091838284,0.04756737880545266,0.13367765456478808,0.6122651823874367
23640,34,1.2409,8998,50176,0.13436319182040454,0.05959024234693878,0.047566125805734605,0.02614795918367347,0.08679706601466994,0.6459884201819686
23641,36,1.2679527777777777,8165,44071,0.2878138395590937,0.1618524653400195,0.14733619105939988,0.10537541694084546,0.1404776484996938,0.4880851063829787
23642,242,8.379302777777777,42199,228571,0.337164387781701,0.1765140809639018,0.132894144411005,0.07095825804673384,0.204270243370696,0.6058476244025864
23643,308,11.351933333333333,56588,301574,0.25948964444758604,0.13538633967119182,0.1131335265427299,0.061135906941579846,0.14635611790485614,0.564015254698992
23651,584,21.797277777777776,147876,796402,0.14106413481565636,0.06614373143211594,0.07745002569720577,0.04464579446058649,0.06361410911845058,0.4509587727708533
23652,637,21.567077777777776,108895,568869,0.20288351163965287,0.09989118760206656,0.10344827586206896,0.060669503875233136,0.09943523577758391,0.4901099895894627
23653,372,15.808608333333336,110563,589874,0.15982742870580574,0.07883717539677965,0.08330996807250166,0.04842220542014057,0.07651746063330409,0.4787504951615641
23673,209,10.134524999999998,60010,319107,0.167455424095984,0.07979141792564877,0.0761539743376104,0.04239643755856186,0.09130144975837359,0.5452283809334262
28513,245,10.336936111111111,65901,360273,0.1886162577199132,0.08721441795527281,0.08016570310010471,0.04560152995089835,0.10845055461980849,0.5749798873692679
29855,1,0.05614444444444445,318,1655,0.25157232704402516,0.16132930513595167,0.050314465408805034,0.02175226586102719,0.20125786163522014,0.8
30054,24,0.6924916666666666,4797,24840,0.13633520950594122,0.057729468599033815,0.06712528663748175,0.03534621578099839,0.06920992286845946,0.507645259938838
30055,517,14.281241666666666,107105,568007,0.20220344521731012,0.10700044189596256,0.10820223145511414,0.07049032846426188,0.09400121376219599,0.4648843330101122
30056,3,0.03267222222222222,236,1218,0.18220338983050846,0.08784893267651889,0.1016949152542373,0.06486042692939245,0.08050847457627117,0.44186046511627897
30057,366,11.608241666666666,84331,446128,0.18715537584043826,0.0925474303338952,0.10117275972062469,0.05697243840332819,0.08598261611981357,0.4594183615282265
30058,143,3.60655,23615,125074,0.1706542451831463,0.08403025408957897,0.08579292822358671,0.04961862577354206,0.0848613169595596,0.4972704714640198
30059,255,8.274775,54176,289556,0.17428381571175428,0.071101963005429,0.0847423213230951,0.043470002348423104,0.08954149438865917,0.5137682694344418
30060,36,2.1377166666666665,12952,69382,0.2230543545398394,0.12079501888097778,0.08987029030265596,0.052996454411807094,0.13318406423718343,0.597092419522326
30061,258,11.330658333333334,69324,363132,0.1568720789337026,0.07778163312514458,0.07889042755755582,0.044785367304451276,0.0779816513761468,0.4971034482758621
30062,146,5.678344444444445,31381,169797,0.1808737771262866,0.08424766044158613,0.08782384245243938,0.05059571134943491,0.09304993467384723,0.514446793516561
30063,235,10.280377777777778,70571,381889,0.18596874070085445,0.08673462707750158,0.08951268934831588,0.04936774822003252,0.09645605135253857,0.5186680889972569
30064,157,6.912513888888888,55071,293536,0.2504948157832616,0.13700874850103564,0.11603203137767609,0.06343003924561212,0.1344627844055855,0.5367886915549112
30065,249,8.872172222222222,71034,373283,0.1549961990032942,0.07360099441978338,0.0786806318101191,0.046425902063581784,0.0763155671931751,0.49237057220708447
30066,223,8.823599999999999,46675,247226,0.25936797000535616,0.15212396754386676,0.10900910551687198,0.06700347050876526,0.15035886448848418,0.579712539236742
30067,485,20.64604722222222,108248,582036,0.18781871258591382,0.09312997821440598,0.10122126967703791,0.05629892309066793,0.0865974429088759,0.46106930303477445
30068,367,13.232980555555555,81613,420287,0.27658583804050824,0.15273848584419694,0.1335326479850024,0.07567685890831741,0.14305319005550585,0.5172108270943162
30069,297,10.90701111111111,57238,312976,0.2381809287536252,0.11991015285517101,0.10475558195604319,0.05889588978068606,0.133425346797582,0.5601848455952467
30070,468,15.469766666666668,83475,442660,0.2578855944893681,0.12419690055573127,0.12985923929320156,0.0756698143044323,0.12802635519616654,0.49644632322200033
30071,152,6.085175,39401,209885,0.36628511966701355,0.2013483574338328,0.1515951371792594,0.07956261762393692,0.21468998248775414,0.5861280487804879
30074,345,11.86507222222222,74830,381084,0.1812909260991581,0.08966264655561504,0.09359882400106909,0.05397497664556895,0.087692102098089,0.4837092731829574
30076,32,1.3239944444444443,8451,44053,0.12566560170394037,0.047579052504937235,0.04520175127203881,0.022382130615395093,0.08046385043190155,0.6403013182674199
30077,123,6.676436111111111,40280,217224,0.16578947368421051,0.08285916841601296,0.07862462760675273,0.04516075571760027,0.08716484607745778,0.5257562144354596
30078,92,4.574291666666667,25081,133489,0.2446074717913959,0.12382293672137779,0.13946812328057095,0.0831529189671059,0.10513934851082493,0.42982885085574574
30079,34,1.4472527777777777,8657,46934,0.3601709599168303,0.18393914859163932,0.15836894998267298,0.08024033749520604,0.2018020099341573,0.5602950609364977
30080,57,2.453530555555556,19116,101764,0.16980539861895794,0.07640226406194725,0.08547813350073237,0.04442631972013679,0.08432726511822557,0.49661121380160195
30081,439,9.074730555555556,50499,263512,0.2931939246321709,0.17195801329730714,0.14424048000950515,0.10339946567898237,0.14895344462266577,0.5080372821828988
30082,187,6.511791666666667,46502,246941,0.14001548320502344,0.07044192742395956,0.07958797471076513,0.045209179520614234,0.060427508494258306,0.4315773306711718
30083,139,4.5163722222222225,30050,162130,0.22815307820299502,0.11514216986368964,0.12685524126455908,0.07226916671806576,0.10129783693843594,0.4439906651108518
30084,89,3.764397222222222,31545,168969,0.15809161515295608,0.07710290053205025,0.09652876842605801,0.056347614059383676,0.061562846726898074,0.3894124724283136
30094,65,1.934783333333333,11111,60627,0.16254162541625417,0.07821597638016066,0.06453064530645307,0.038283273129133884,0.0980109801098011,0.6029900332225914
30095,40,1.8032722222222222,7077,39552,0.5173095944609297,0.37062601132686085,0.11290094672883991,0.0576709142394822,0.40440864773208984,0.7817536192297186
30096,166,4.81935,27839,147875,0.19673838859154424,0.1054945054945055,0.11300693272028449,0.0691665257819104,0.08373145587125976,0.42559795508490056
30097,19,0.6918888888888889,3692,20223,0.17984832069339113,0.07649705780546902,0.08559046587215602,0.04351480986995006,0.09425785482123511,0.5240963855421686
30098,302,9.153072222222221,68913,357372,0.1695906432748538,0.08383141376492842,0.07792433938444125,0.045529588216200484,0.09166630389041254,0.5405151022503636
30099,112,5.411308333333333,32427,176336,0.14959755759089646,0.06699709645222757,0.07814475591328214,0.04299178840395609,0.07145280167761432,0.4776334776334776
30102,369,10.519130555555554,74636,383937,0.21407899673080014,0.10952578157353941,0.11838790931989925,0.07222539114490138,0.09569108741090089,0.4469896107147327
30106,108,3.840377777777778,23806,126176,0.18163488196253044,0.08855883844788233,0.09346383264723179,0.056484592949530815,0.08817104931529865,0.4854301572617946
30117,56,1.541975,12363,63761,0.19145838388740596,0.09369363717633036,0.10725552050473186,0.06292247612176723,0.0842028633826741,0.43979721166032953
30118,157,5.935236111111112,36586,195852,0.14546547859837097,0.07396401364295488,0.084431203192478,0.0504871025059739,0.06103427540589297,0.41957910559939876
30121,406,16.420408333333334,116218,613487,0.1510437281660328,0.0719379546754862,0.08097712918824967,0.04627807924210293,0.07006659897778311,0.46388287569784653
30289,179,8.74617222222222,59339,311751,0.16368661419976743,0.07925876741373725,0.09246869680985524,0.05369349256297494,0.07121791738991219,0.43508699680840107
30300,290,8.345072222222223,45744,244906,0.19672525358516965,0.1164569263309188,0.09056925498426023,0.06046809796411685,0.10615599860090942,0.5396155128347594
30328,45,1.3825916666666667,9719,51162,0.21216174503549748,0.10327977796020484,0.08221010392015639,0.04065517376177632,0.12995164111534108,0.6125121241513094
30407,139,3.9976111111111114,28005,147790,0.19557221924656312,0.08830773394681643,0.09491162292447777,0.051390486501116446,0.10066059632208535,0.5146978272777067
30470,193,6.400575,46434,240144,0.21572554593616747,0.10407089079885402,0.11340827841667743,0.06541075354787128,0.10231726751949004,0.47429370070879506
30480,32,1.172963888888889,7578,41090,0.2048033782000528,0.08457045509856413,0.08643441541303774,0.03908493550742273,0.11836896278701504,0.5779639175257731
30520,52,1.8674249999999997,10612,57199,0.3042781756502073,0.16435602021014353,0.15463626083678855,0.09036871273973321,0.14964191481341876,0.4917931248064416
30548,128,4.502030555555556,24531,131969,0.1981574334515511,0.08789943092696012,0.09567486038074273,0.05180762148686434,0.10248257307080837,0.5171775354865255
30549,6,0.3652944444444444,2839,15707,0.2173300457907714,0.07060546253262877,0.07608312786192321,0.03202393837142675,0.1412469179288482,0.6499189627228525
30554,54,2.0143916666666666,10846,57972,0.25760649087221094,0.12499137514662251,0.12151945417665498,0.07049955150762437,0.13608703669555594,0.5282748747315675
30555,62,2.1701416666666664,13465,71129,0.16086149275900483,0.06963404518550802,0.0811734125510583,0.03915421276835046,0.07968808020794653,0.4953831948291782
30558,91,3.798019444444444,17317,93840,0.27470116070912975,0.14990409207161126,0.1449442744124271,0.0885230179028133,0.12975688629670265,0.47235652722303967
30588,14,0.4464722222222222,2634,14777,0.29309035687167806,0.14698517967111052,0.13059984813971146,0.08005684509711038,0.1624905087319666,0.5544041450777203
30601,193,6.520775,49784,252177,0.2702273822914993,0.14906593384805117,0.14795918367346939,0.09448918814959334,0.1222681986180299,0.45246413439381555
30628,3,0.09778611111111112,588,3165,0.1292517006802721,0.053712480252764615,0.047619047619047616,0.027804107424960506,0.0816326530612245,0.6315789473684211
30646,7,0.29183055555555554,1909,10458,0.1356731272917758,0.048862115127175365,0.04976427448926139,0.02132338879326831,0.08590885280251441,0.6332046332046333
30654,1,0.044097222222222225,230,1266,0.1956521739130435,0.06714060031595577,0.11739130434782609,0.053712480252764615,0.0782608695652174,0.4
30657,56,3.0639111111111115,16448,89894,0.15965466926070038,0.0804391839277371,0.0778818093385214,0.046910806060471225,0.08177285992217898,0.5121858339680121
30660,138,4.436727777777778,30088,161887,0.2179274129220952,0.1074453167950484,0.08800850837543206,0.05011520381500676,0.12991890454666313,0.5961567790147934
30662,132,3.8138,26868,141026,0.18103319934494566,0.0972657524144484,0.09282417746017567,0.06091784493639471,0.08820902188476999,0.48725328947368424
30671,36,1.6163499999999997,9649,53019,0.21017722043735101,0.07535034610234068,0.08674474038760493,0.03432731662234293,0.12343248004974608,0.5872781065088757
30672,154,5.59005,39773,204851,0.19234153822945213,0.09235493114507617,0.100243884041938,0.05535242688588291,0.09209765418751413,0.47882352941176465
