speaker_id,n_seg,n_sess,hours
30702,25,21,1.370838888888889
30703,68,37,2.6660388888888886
30704,152,43,5.946502777777779
30705,66,34,3.318244444444445
30706,93,55,3.7335944444444444
30707,15,8,0.41245833333333337
30708,76,26,2.5859444444444444
30709,16,12,0.6045972222222222
30710,67,48,2.9094055555555554
30711,79,45,2.895275
30713,116,57,3.7731416666666675
30714,45,31,2.300288888888889
30715,39,29,1.9228500000000002
30716,15,1,0.46000833333333324
30717,72,37,2.918586111111111
30718,33,15,1.4210194444444444
30719,222,119,10.29224166666667
30720,120,74,4.509027777777778
30721,65,43,3.4336361111111113
30722,184,82,6.963708333333333
30723,43,27,2.395538888888889
30724,142,46,5.724363888888889
30741,96,59,3.4297222222222223
30743,74,39,3.680697222222222
30745,13,11,0.5548777777777778
30746,2,2,0.04399444444444444
30749,209,121,8.45765277777778
30750,50,34,2.1593027777777776
30751,110,62,4.020866666666667
30752,87,55,3.92003611111111
30758,132,78,5.792063888888889
30759,38,31,2.049672222222222
30760,23,18,1.02325
30762,28,21,1.2825305555555555
30763,3,3,0.29981666666666673
30764,12,11,0.57875
30765,206,102,5.227702777777779
30766,10,9,0.6051722222222222
30767,8,5,0.3823861111111111
30768,52,38,1.8837055555555555
30770,58,44,2.601883333333334
30772,56,27,1.3273333333333335
30773,4,3,0.15419444444444444
30775,13,11,0.5422111111111111
30776,78,42,4.420469444444444
30777,104,51,3.7984999999999998
30778,13,12,0.695663888888889
30779,7,6,0.30198333333333327
30780,111,49,4.01071111111111
30781,33,22,1.4096583333333335
30782,41,31,2.4723166666666665
30783,85,38,2.968433333333333
30784,16,13,0.66155
30786,23,9,1.1110777777777778
30787,10,10,0.81905
30788,4,2,0.35810555555555557
30789,7,6,0.4118194444444444
30791,10,6,0.5444388888888889
30797,19,11,0.9822194444444445
30803,6,6,0.38029999999999997
30804,31,14,1.4062166666666664
30805,21,14,1.0645083333333332
30806,23,12,0.8564166666666665
30807,179,71,8.378322222222222
30808,66,36,3.248413888888889
30809,40,27,1.9419694444444444
30810,115,65,4.2779
30811,133,44,4.491466666666668
30812,75,34,2.5594805555555546
30813,10,9,0.7675833333333333
30816,9,7,0.6491333333333333
30817,12,11,0.6335833333333333
30818,19,14,0.6769222222222222
30820,104,52,3.9453472222222223
30821,12,10,0.7206555555555555
30823,11,6,0.5830527777777778
30830,19,12,1.1878583333333332
30831,11,9,0.4558222222222223
30832,9,5,0.8539777777777777
30833,8,6,0.3947805555555556
30835,19,12,0.7061055555555555
30836,15,7,0.977147222222222
30837,53,31,2.230825
30839,9,7,0.5414222222222221
30840,69,46,2.5444861111111106
30842,40,27,1.3224194444444444
30843,34,25,1.1199083333333333
30846,17,7,0.7395222222222223
30847,62,12,2.4780166666666656
30849,73,51,3.5050416666666666
30851,78,31,3.0735333333333337
30852,31,20,1.1638583333333332
30853,30,5,0.8899555555555556
30854,132,39,3.417666666666667
30857,18,5,0.6581111111111111
30859,9,6,0.6824527777777778
30860,76,38,2.4992222222222225
30861,8,4,0.3610611111111111
30863,76,50,3.8254388888888893
30867,43,25,1.7412472222222222
30868,38,27,1.2935722222222221
30870,31,15,0.7239777777777779
30871,37,22,1.791527777777778
30872,25,19,0.7231527777777778
30873,49,27,1.683138888888889
30874,21,16,0.7350166666666668
30875,24,20,0.8532638888888889
30877,2,1,0.06397777777777779
30879,2,1,0.032244444444444444
30880,7,5,0.2503861111111111
30881,14,9,0.3040111111111111
