speaker_id,n_seg,hours,wer_A,wer_B,gain_abs,gain_abs_lo,gain_abs_hi,gain_rel
30860,283,0.912614,0.256793,0.16863,0.0881633,0.0738764,0.102776,0.343324
23591,255,0.950843,0.285423,0.187373,0.0980506,0.0796804,0.117543,0.343527
30692,216,0.979686,0.250932,0.164532,0.0863997,0.0738408,0.100591,0.344315
30689,235,0.924574,0.250725,0.164297,0.0864283,0.0649393,0.111279,0.344714
30760,230,0.960311,0.291086,0.190529,0.100557,0.0769709,0.120259,0.345455
30873,338,0.89354,0.334357,0.218811,0.115546,0.100028,0.133628,0.345578
23651,252,0.948046,0.240118,0.15709,0.0830272,0.0668609,0.0987206,0.345777
30703,251,0.904211,0.337547,0.220133,0.117415,0.0970555,0.146655,0.347846
23635,266,0.932541,0.268937,0.175321,0.0936164,0.0753859,0.115023,0.348098
30758,189,0.962774,0.222905,0.14487,0.0780347,0.0660504,0.0907894,0.350081
23571,86,0.313848,0.319551,0.207249,0.112302,0.083915,0.139002,0.351438
30770,257,0.929209,0.258864,0.167819,0.0910457,0.0784485,0.105057,0.351712
30679,291,0.953186,0.246759,0.159887,0.0868723,0.0732607,0.101553,0.352053
526,269,0.874874,0.286547,0.185315,0.101232,0.0821169,0.121239,0.353283
30102,283,0.940047,0.313822,0.20284,0.110982,0.0951422,0.12791,0.353647
30786,222,0.980821,0.224382,0.144863,0.0795194,0.0688297,0.0916605,0.354392
23597,259,0.935003,0.292408,0.188245,0.104163,0.0878257,0.120652,0.356226
30759,190,0.975169,0.251396,0.161589,0.089807,0.0744149,0.104682,0.357234
30833,306,0.946442,0.290082,0.18645,0.103631,0.0850089,0.124301,0.357249
23512,268,0.921449,0.268809,0.172672,0.0961372,0.0785307,0.112741,0.357641
23564,235,0.914088,0.323651,0.207766,0.115884,0.0981631,0.132772,0.358054
30067,202,0.957959,0.221008,0.141844,0.0791643,0.0648158,0.0945533,0.358196
30764,265,0.915927,0.303715,0.194651,0.109064,0.0928616,0.125819,0.3591
30880,285,0.965806,0.250917,0.160675,0.0902421,0.0732046,0.107377,0.359649
30817,220,0.939224,0.314273,0.20106,0.113213,0.0992326,0.128325,0.360237
30751,227,0.942187,0.217291,0.138821,0.0784705,0.0667732,0.0916964,0.361131
30662,322,0.965823,0.254822,0.162616,0.0922061,0.0781958,0.106207,0.361846
30766,220,0.956557,0.267192,0.170453,0.0967393,0.0844558,0.109404,0.362059
23570,118,0.403585,0.263056,0.167311,0.0957447,0.0761036,0.1156,0.363971
30686,252,0.954501,0.1995,0.126651,0.0728486,0.0584041,0.092026,0.365157
30835,239,0.883178,0.310222,0.196903,0.113319,0.095907,0.135331,0.365283
30121,270,0.935786,0.276562,0.175533,0.101029,0.0856303,0.115573,0.365304
23601,221,0.945895,0.323517,0.205295,0.118222,0.0992412,0.138941,0.365427
30791,203,0.969645,0.216765,0.137335,0.07943,0.0680845,0.0900898,0.366434
12947,241,0.967599,0.255932,0.162132,0.0937994,0.0777121,0.108506,0.366502
30724,182,0.949726,0.302816,0.191794,0.111022,0.0947839,0.127633,0.366631
30870,220,0.942921,0.299506,0.189621,0.109885,0.0937171,0.127083,0.366887
23560,258,0.889476,0.381045,0.240182,0.140863,0.122167,0.161693,0.369676
30857,223,0.985936,0.214636,0.135264,0.0793719,0.066991,0.0928847,0.369799
30058,248,0.934583,0.315974,0.199093,0.116881,0.0971769,0.138332,0.369907
30782,224,0.950323,0.309091,0.194704,0.114387,0.0999267,0.131103,0.370074
30773,25,0.0952244,0.227273,0.143098,0.0841751,0.0545751,0.120636,0.37037
30872,318,0.940176,0.284438,0.179012,0.105426,0.0867071,0.122845,0.370645
30657,128,0.736451,0.19251,0.121123,0.0713868,0.0590665,0.084216,0.370821
30074,108,0.461175,0.334805,0.210526,0.124278,0.10177,0.150205,0.371197
563,296,0.955042,0.367432,0.230993,0.136439,0.119946,0.153421,0.371332
30690,278,0.976836,0.223262,0.140164,0.0830982,0.0716062,0.0937378,0.3722
23632,258,0.907363,0.308001,0.193307,0.114694,0.0995543,0.131708,0.372383
30470,303,0.92019,0.361273,0.226676,0.134597,0.12056,0.149686,0.372564
30836,41,0.172333,0.178571,0.112013,0.0665584,0.0402294,0.0913784,0.372727
12961,121,0.434793,0.347205,0.217497,0.129708,0.102854,0.156318,0.373578
30859,266,0.971292,0.213632,0.13373,0.0799024,0.0676402,0.0916527,0.374019
30768,375,0.876433,0.40536,0.253599,0.151761,0.132886,0.170328,0.374386
30715,195,0.964966,0.233088,0.14572,0.0873677,0.0753029,0.100729,0.374828
30300,248,0.958551,0.239424,0.14953,0.0898942,0.0734286,0.107221,0.37546
528,213,0.613036,0.48533,0.302288,0.183042,0.158529,0.210359,0.377149
30055,274,0.941446,0.330265,0.205572,0.124693,0.108498,0.141069,0.377555
30691,226,0.942981,0.292655,0.181897,0.110758,0.0931836,0.129274,0.378458
30077,126,0.734425,0.225365,0.140067,0.0852974,0.0717121,0.0982763,0.378486
30520,37,0.187197,0.372432,0.231164,0.141267,0.111292,0.170122,0.37931
30687,111,0.581226,0.229565,0.142298,0.0872669,0.0746068,0.0990921,0.38014
30806,250,0.960357,0.220464,0.136211,0.0842526,0.0695136,0.0987799,0.382161
30702,337,0.935908,0.330907,0.204335,0.126572,0.106638,0.148773,0.3825
30741,274,0.928416,0.305487,0.188502,0.116985,0.0986352,0.138648,0.382947
30821,187,0.994932,0.204179,0.12597,0.078209,0.0652003,0.0914357,0.383041
30807,206,0.959239,0.213362,0.131442,0.0819204,0.0689245,0.0955771,0.38395
30688,41,0.171305,0.25569,0.157056,0.0986343,0.0727093,0.127259,0.385757
30743,201,0.972856,0.196741,0.120834,0.0759066,0.0646687,0.0892739,0.385821
30881,254,0.961814,0.218512,0.134093,0.0844191,0.0698402,0.0993599,0.386335
30083,206,0.982667,0.225158,0.138139,0.087019,0.0720081,0.102872,0.38648
30765,220,0.920984,0.353616,0.216817,0.136799,0.122513,0.151092,0.386858
30070,233,0.935028,0.345418,0.21163,0.133787,0.115577,0.151214,0.38732
2178,248,0.940149,0.274417,0.168078,0.106339,0.0876276,0.126158,0.387509
30719,220,0.946839,0.206981,0.126623,0.0803571,0.0667925,0.0940696,0.388235
30407,142,0.455557,0.405564,0.247913,0.157651,0.13051,0.187187,0.38872
30799,307,0.98755,0.201159,0.12281,0.078349,0.0618929,0.0992509,0.389489
30832,261,0.960074,0.235052,0.143469,0.0915829,0.0771654,0.10672,0.389629
30063,241,0.973725,0.319188,0.194578,0.12461,0.10706,0.142229,0.390396
23596,312,0.932431,0.358574,0.21799,0.140584,0.118993,0.16422,0.392065
30289,241,0.924841,0.311846,0.189567,0.122279,0.105927,0.140085,0.392112
30784,216,0.962771,0.252117,0.153237,0.0988801,0.0834361,0.117585,0.392199
23573,126,0.533967,0.397875,0.241736,0.156139,0.129887,0.181826,0.392433
30081,268,0.952384,0.294135,0.17788,0.116255,0.0991577,0.137613,0.395243
30717,217,0.966569,0.237586,0.143255,0.0943313,0.0761392,0.116606,0.397041
30777,226,0.982764,0.223226,0.134581,0.0886452,0.0779284,0.0988434,0.39711
1027,247,0.977415,0.247727,0.149254,0.0984732,0.0831461,0.114974,0.397507
1025,201,0.975816,0.210283,0.126677,0.0836066,0.0714863,0.0962429,0.39759
30678,251,0.938403,0.414336,0.249598,0.164738,0.143584,0.184719,0.397595
1057,321,0.930774,0.335679,0.201827,0.133852,0.116806,0.151685,0.398751
30094,69,0.182285,0.270512,0.16247,0.108042,0.0795529,0.142087,0.399399
30720,245,0.983827,0.218784,0.131379,0.087405,0.0735754,0.0999244,0.399504
511,252,0.931439,0.263142,0.158009,0.105132,0.0901016,0.123942,0.399527
30558,217,0.964831,0.290628,0.174447,0.116181,0.0988262,0.132863,0.399758
28513,258,0.945791,0.26163,0.156921,0.104709,0.0912751,0.118669,0.400218
23558,310,0.922117,0.381668,0.228694,0.152974,0.13227,0.173947,0.400803
23594,197,0.966696,0.19373,0.115985,0.077745,0.0678858,0.0881245,0.401306
23673,38,0.124347,0.307028,0.183724,0.123305,0.0823662,0.16747,0.401606
12964,104,0.432596,0.367347,0.219666,0.147681,0.118377,0.180409,0.40202
30700,235,0.949072,0.276383,0.165022,0.11136,0.0986417,0.12508,0.40292
30707,179,0.855343,0.359463,0.214589,0.144873,0.12789,0.162566,0.403027
30693,250,0.929277,0.393059,0.233756,0.159303,0.143234,0.176297,0.40529
30069,207,0.955326,0.307447,0.18156,0.125887,0.108409,0.144368,0.409458
4355,259,0.8395,0.290881,0.171561,0.11932,0.101913,0.138659,0.410202
23569,267,0.747717,0.403429,0.236381,0.167048,0.145958,0.190087,0.41407
23566,320,0.959186,0.279136,0.163086,0.116049,0.103121,0.129311,0.415745
30709,247,0.949709,0.349563,0.203324,0.146239,0.12672,0.169393,0.418348
30714,235,0.915963,0.40924,0.237238,0.172002,0.152243,0.193244,0.420296
30082,223,0.951715,0.224579,0.130109,0.0944704,0.073472,0.121011,0.420655
30660,269,0.948273,0.252302,0.145885,0.106417,0.0897165,0.122427,0.421784
23551,226,0.963347,0.242104,0.139338,0.102766,0.0884503,0.118292,0.424469
30816,207,0.954354,0.321734,0.183664,0.13807,0.119634,0.157347,0.429144
1056,280,0.895269,0.433008,0.24715,0.185858,0.165459,0.205561,0.429225
30797,189,0.95187,0.261038,0.148419,0.112619,0.0965149,0.129385,0.431429
30750,217,0.942807,0.293543,0.166887,0.126656,0.111251,0.142499,0.431472
30763,230,0.939803,0.300387,0.168379,0.132009,0.113692,0.149437,0.439462
488,203,0.753231,0.344834,0.193175,0.151659,0.133257,0.172252,0.439802
22151,209,0.913567,0.2533,0.141865,0.111435,0.0980887,0.126225,0.439934
4395,204,0.963518,0.248575,0.139122,0.109454,0.0947309,0.124367,0.440324
23652,289,0.928313,0.441176,0.24645,0.194726,0.174517,0.220615,0.441379
30779,55,0.106357,0.268551,0.149588,0.118963,0.0811647,0.161636,0.442982
468,178,0.904966,0.503159,0.279834,0.223326,0.197675,0.248484,0.443846
23534,170,0.680397,0.44389,0.246206,0.197684,0.169421,0.224798,0.445344
30840,199,0.960705,0.255319,0.141427,0.113892,0.0998717,0.13048,0.446078
4405,297,0.970165,0.261287,0.144143,0.117145,0.0990242,0.134985,0.448336
30078,294,0.915514,0.462652,0.254573,0.208079,0.187463,0.22874,0.449753
30555,173,0.52839,0.393026,0.216189,0.176837,0.155443,0.199811,0.449937
4416,204,0.966381,0.242055,0.132437,0.109618,0.0898368,0.128154,0.452863
30713,187,0.981216,0.297848,0.162498,0.13535,0.118393,0.152543,0.454427
30066,214,0.963326,0.281229,0.151329,0.1299,0.110295,0.148288,0.461902
30548,195,0.966011,0.28907,0.155014,0.134056,0.116258,0.152818,0.46375
580,21,0.0858681,0.614458,0.328744,0.285714,0.220969,0.354795,0.464986
30894,63,0.283197,0.241034,0.128692,0.112342,0.0882581,0.13681,0.466083
9615,46,0.143264,0.25,0.132787,0.117213,0.0912476,0.144984,0.468852
30847,185,0.9659,0.217798,0.115589,0.102209,0.0886439,0.116494,0.469282
560,251,0.947911,0.353852,0.187766,0.166086,0.144711,0.185292,0.469365
12951,197,0.977946,0.247708,0.129993,0.117714,0.0928226,0.146918,0.475215
30787,238,0.902897,0.347408,0.181155,0.166253,0.145652,0.187991,0.478552
12963,140,0.741517,0.236291,0.123001,0.11329,0.0994591,0.129491,0.479452
427,228,0.955004,0.381596,0.198514,0.183082,0.160444,0.207014,0.47978
1061,94,0.402774,0.389054,0.202376,0.186678,0.15603,0.218721,0.479826
12945,72,0.34856,0.387765,0.199904,0.187861,0.133694,0.252208,0.484472
965,80,0.36775,0.34399,0.176044,0.167945,0.138514,0.203906,0.488228
4412,174,0.600494,0.381448,0.194747,0.186701,0.16201,0.212581,0.489454
30752,262,0.972457,0.288692,0.146652,0.14204,0.1237,0.160143,0.492013
30803,175,0.611428,0.36835,0.186204,0.182146,0.161942,0.20213,0.494492
30776,316,0.946863,0.371004,0.186541,0.184463,0.164646,0.207106,0.497199
23568,226,0.95962,0.267767,0.134106,0.13366,0.113627,0.154069,0.499167
23642,24,0.0928983,0.681435,0.339662,0.341772,0.274131,0.439077,0.501548
23631,300,0.939835,0.374858,0.182025,0.192833,0.164707,0.219715,0.514416
30095,187,0.823846,0.744206,0.357368,0.386838,0.349779,0.424264,0.5198
23599,235,0.948419,0.318471,0.151875,0.166596,0.148787,0.186735,0.523111
467,28,0.168867,0.189873,0.0875527,0.102321,0.0748389,0.132772,0.538889
30064,32,0.154418,0.557676,0.248133,0.309544,0.256026,0.366829,0.55506
12962,75,0.212082,0.838926,0.371365,0.467562,0.420482,0.515373,0.557333
448,107,0.547857,0.770293,0.308185,0.462108,0.41794,0.505892,0.599913
30628,46,0.251317,0.429054,0.163514,0.265541,0.179322,0.360889,0.618898
557,138,0.598511,0.447647,0.163341,0.284306,0.260874,0.307911,0.635113
30716,29,0.161587,0.317647,0.111765,0.205882,0.166458,0.247609,0.648148
498,23,0.163144,0.198439,0.0668896,0.13155,0.0999973,0.169967,0.662921
