speaker_id,n_seg,sessions,hours,n_words,n_chars,wer_A,cer_A,wer_B,cer_B,gain_abs,gain_rel,wer_A_lo,wer_A_hi,wer_B_lo,wer_B_hi,gain_abs_lo,gain_abs_hi,reliable,S_share_A,D_share_A,I_share_A,S_share_B,D_share_B,I_share_B,runaway_A,runaway_B,first_date,last_date,speaker_name,gender,origin,nationality,religion,orientation,age_mean,wpm_median,hours_corpus,label
12959,21,1,0.0751361,678,3483,0.364307,0.211886,0.29941,0.188056,0.0648968,0.178138,0.306053,0.459895,0.234145,0.40682,0.0269736,0.0991172,True,0.578947,0.137652,0.283401,0.477833,0.142857,0.37931,0,0,2021-10-24,2021-10-24,מירי רגב,Female,Israel,Jewish,Jewish,Secular,56.4748,160.589,0.0751361,mk
12961,121,11,0.434793,3292,16815,0.446537,0.291288,0.328372,0.230211,0.118165,0.264626,0.393795,0.505075,0.28461,0.382111,0.0887058,0.146074,True,0.482313,0.182993,0.334694,0.378353,0.134135,0.487512,0,0,2018-11-14,2018-12-25,נחמן שי,Male,Israel,Jewish,Jewish,Secular,73.2993,137.049,0.852152,mk
12962,75,4,0.212082,1341,6662,0.865772,0.619484,0.446682,0.360853,0.41909,0.484065,0.814322,0.918135,0.384975,0.520368,0.372367,0.463317,True,0.594315,0.33764,0.0680448,0.380634,0.128548,0.490818,0,0,2018-11-20,2018-12-18,רוברט טיבייב,Male,FSU,Jewish,Jewish,Unrecorded,57.4659,120.326,0.212082,mk
12963,140,15,0.741517,5252,27124,0.308454,0.17173,0.196877,0.12782,0.111577,0.361728,0.273329,0.347372,0.167806,0.228941,0.0968988,0.127695,True,0.567901,0.1,0.332099,0.425532,0.0870406,0.487427,1,0,2020-03-26,2021-03-29,משה יעלון,Male,Israel,Jewish,Jewish,Secular,70.0609,123.147,0.741517,mk
12964,104,6,0.432596,2695,14087,0.460853,0.279903,0.326531,0.232058,0.134323,0.291465,0.40824,0.517615,0.279502,0.375012,0.103112,0.170435,True,0.508857,0.144928,0.346216,0.364773,0.130682,0.504545,0,0,2018-11-21,2018-12-18,חנין זועבי,Female,Israel,Arab,Muslim,Unrecorded,49.5531,105.117,0.432596,mk
22151,209,25,0.913567,7197,36454,0.32319,0.185631,0.218146,0.143167,0.105044,0.325021,0.294358,0.35485,0.190983,0.248257,0.0913099,0.119917,True,0.545142,0.140585,0.314273,0.402548,0.144586,0.452866,2,2,2018-11-13,2026-01-21,אכרם חסון,Male,Israel,Druze,Druze,Unrecorded,62.4811,135.827,1.10254,mk
23511,19,3,0.0817258,508,2518,0.334646,0.21247,0.253937,0.179905,0.0807087,0.241176,0.209191,0.541308,0.145518,0.433114,0.0441632,0.121954,False,0.429412,0.105882,0.464706,0.341085,0.0697674,0.589147,0,0,2018-11-27,2020-06-23,נפתלי בנט,Male,Israel,Jewish,Jewish,Religious,47.4591,105.204,0.0817258,mk
23512,268,42,0.921449,6938,35229,0.408619,0.270516,0.318536,0.235857,0.0900836,0.220459,0.371221,0.45003,0.280517,0.362031,0.0700983,0.1077,True,0.438448,0.129806,0.431746,0.30905,0.111312,0.579638,4,3,2020-03-26,2021-01-26,איילת שקד,Female,Israel,Jewish,Jewish,Secular,44.5133,135.547,1.60316,mk
23534,170,16,0.680397,5008,25679,0.521166,0.316056,0.347644,0.22754,0.173522,0.33295,0.485935,0.562356,0.315518,0.383903,0.14591,0.202305,True,0.579693,0.187356,0.23295,0.428489,0.106261,0.46525,0,2,2018-11-05,2020-02-25,מרדכי יוגב,Male,Israel,Jewish,Jewish,Religious,63.0153,127.239,0.73383,mk
23551,226,90,0.963347,6617,33945,0.323409,0.192399,0.223515,0.151038,0.0998942,0.308879,0.292703,0.3602,0.196505,0.255522,0.0840125,0.115822,True,0.499533,0.13271,0.367757,0.391481,0.100744,0.507776,1,1,2021-05-27,2024-11-11,אורית סטרוק,Female,Israel,Jewish,Jewish,Religious,62.0532,117.967,7.23994,former_mk
