speaker_id,n_seg,hours,wer_A,wer_B,gain_abs,gain_abs_lo,gain_abs_hi,gain_rel
23564,235,0.914088,0.44825,0.350711,0.0975386,0.0799175,0.113214,0.217599
30671,214,0.926758,0.477665,0.373655,0.10401,0.0874691,0.120825,0.217747
30860,283,0.912614,0.370029,0.289329,0.0806997,0.0656461,0.0967395,0.21809
30791,203,0.969645,0.315295,0.246476,0.0688192,0.0560817,0.0799634,0.218269
30711,250,0.941034,0.38094,0.297684,0.0832561,0.068643,0.0971199,0.218555
30837,242,0.938834,0.313322,0.244814,0.0685072,0.0567416,0.080276,0.218648
30102,283,0.940047,0.435381,0.340046,0.0953347,0.0794485,0.111543,0.218968
30852,244,0.906944,0.435604,0.34022,0.0953846,0.0826635,0.108806,0.218971
30681,250,0.953751,0.33396,0.260807,0.0731531,0.0595173,0.0862647,0.219048
23512,268,0.921449,0.408619,0.318536,0.0900836,0.0700983,0.1077,0.220459
23651,252,0.948046,0.338575,0.263777,0.0747979,0.0589733,0.0898931,0.22092
30805,207,0.955187,0.364845,0.283976,0.0808686,0.066424,0.0941426,0.221652
30853,347,0.934158,0.389012,0.302623,0.0863891,0.0690803,0.102433,0.222073
30843,219,0.952178,0.464418,0.361124,0.103293,0.0866561,0.119879,0.222414
503,74,0.322554,0.376104,0.291202,0.084902,0.0629769,0.109188,0.225741
30820,271,0.971152,0.3045,0.235729,0.068771,0.0565603,0.0814854,0.225849
4397,275,0.952927,0.324523,0.250623,0.0738998,0.0603057,0.0872522,0.227719
30789,215,0.945441,0.297067,0.229355,0.0677119,0.057737,0.0787726,0.227934
30833,306,0.946442,0.424429,0.327544,0.0968853,0.0760769,0.118653,0.228272
12947,241,0.967599,0.383581,0.295951,0.0876305,0.0729021,0.101811,0.228454
30758,189,0.962774,0.331828,0.25578,0.0760477,0.0639105,0.0890411,0.229178
556,309,0.939844,0.488296,0.376076,0.11222,0.0919479,0.1321,0.22982
30872,318,0.940176,0.391488,0.301332,0.0901559,0.0700501,0.109442,0.23029
30835,239,0.883178,0.439161,0.337901,0.101261,0.0825706,0.125165,0.230577
30719,220,0.946839,0.315747,0.242857,0.0728896,0.0589073,0.0858232,0.230848
30662,322,0.965823,0.34716,0.266975,0.0801849,0.0660576,0.0942725,0.230974
